method,beta,primary,oracle_excluded,blocks,independent_scenes,macro_precision,macro_recall,macro_f1,scene_bootstrap_95ci_f1,macro_chamfer_m,macro_hausdorff_m,macro_localization_mean_m
diffassign_multimodal_oracle_cardinality_ablation,,False,True,24,6,0.5750343997248022,0.5750343997248022,0.5750343997248022,"[0.5336192810457517, 0.6135964912280701]",1.076554969113422,4.812336963774569,1.5182549771162606
two_sided_vt_registration,,True,False,24,6,0.5745423863990041,0.569977819344112,0.5716539750031501,"[0.5470489486486145, 0.5970913605782027]",1.0274529633650624,4.965260092281257,1.6454596937989143
bernoulli_rfs_multimodal,,True,False,24,6,0.5034336684164537,0.6327788169361311,0.556150648884779,"[0.5422425231808927, 0.5722499064764978]",0.6528431841135,2.818495984120247,1.4382836916502815
beta_marginal_survival_multimodal,,True,False,24,6,0.47087744303204265,0.6446409887054236,0.5395204079270939,"[0.5192593711782393, 0.5558825506969033]",0.77660983036774,3.1932476822482876,1.4106410619602767
diffassign_bic_multimodal,,True,False,24,6,0.4563616486170834,0.5948077915376676,0.5156156519884885,"[0.46814582981396596, 0.5526536826757652]",1.0577212346198748,5.750994816838456,1.5711279894348102
multipath_bundle_adjustment_noncheating,,True,False,24,6,0.591704628217786,0.437562886996904,0.5003183926242765,"[0.43939678944350463, 0.5689985230338894]",2.6357936368558907,11.80047062402758,2.0033488054464277
aoa_power_inverse_consensus,,True,False,24,6,0.3217648854031753,0.655644600676528,0.4217010399997186,"[0.4062959786923841, 0.4351234145693419]",0.8240955111138769,5.122187869553314,1.6249855797168458
diffassign_bic_delay,,True,False,24,6,0.3100384463299223,0.40008205767687194,0.34848290141988353,"[0.3205895728206941, 0.3767684322225768]",3.530528266452903,11.329470296421709,1.7615713028979403
corrected_mpurge_order_components,1.0,True,False,24,6,0.1263032841805889,0.15836988304093566,0.1313400978126596,"[0.09847390843498498, 0.16256349073007462]",6.156503111039178,23.526680078257723,3.2410428104200526
corrected_pba_order_components,1.0,True,False,24,6,0.12695575479566493,0.15860136452241716,0.13026053513198668,"[0.09003277232394861, 0.16794487031969474]",6.395969780630677,23.92320406023124,3.3267550460079853
corrected_pba_printed_components,1.0,True,False,24,6,0.09928549742849763,0.1539987888430226,0.11575940745066766,"[0.07460986457465331, 0.16238154497299256]",5.974892428280946,23.67760183265175,3.38741015121836
selfsup_deepsets_multimodal,,True,False,24,6,0.12941669058638874,0.1035193426785919,0.11402057407978278,"[0.06111143015167783, 0.16532981925389478]",3.695050808037603,16.42829538215136,2.076312982038488
corrected_mpurge_printed_components,1.0,True,False,24,6,0.09391502360258175,0.15156214166953333,0.11027826198043532,"[0.07190841993166443, 0.1517137476236741]",6.1956788232505815,24.041985747565075,3.466662039614637
selfsup_attention_multimodal,,True,False,24,6,0.08289813400107518,0.07292920823300081,0.0773117776842622,"[0.05836047444503326, 0.09627944545707702]",2.7805428479390706,12.198162776273769,1.9563201034035018
corrected_mpurge_order_star,1.0,True,False,24,6,0.024813634863595353,0.6149370055039559,0.04750721151063079,"[0.04273772012467295, 0.05205390421168086]",2.804966576620115,19.062142598747737,1.8173370344302082
corrected_pba_order_star,1.0,True,False,24,6,0.024592104445391668,0.6128801886251576,0.047092484556315185,"[0.04116998288689983, 0.0522595385314484]",2.816039212673966,19.162618353383305,1.804412739258086
cycle_consistent_delay,,True,False,24,6,0.017094500863608843,0.5140585583648664,0.03287374725735711,"[0.03005983652180254, 0.03507055601038213]",3.9508205743966403,22.94182009412884,2.3876345327972666
corrected_mpurge_printed_star,1.0,True,False,24,6,0.01651119737192343,0.6273682060543515,0.03214752706735692,"[0.02903633825257625, 0.03550254113559267]",3.193095274162667,21.429004968224334,1.9752369096651516
corrected_pba_printed_star,1.0,True,False,24,6,0.01592363659160502,0.6271245413370026,0.031040333351708655,"[0.029011295031000865, 0.0336391036806137]",3.2148201449523346,21.438174747215623,1.9250539558496467
